,q,V,q,V,q,V,q,V
,kPa,m/s,kPa,m/s,kPa,m/s,kPa,m/s
0,0.15,15.2,0.53,28.6,0.91,37.5,1.29,44.7
1,0.16,15.7,0.54,28.9,0.92,37.7,1.3,44.8
2,0.17,16.2,0.55,29.2,0.93,37.9,1.31,45.0
3,0.18,16.7,0.56,29.4,0.94,38.1,1.32,45.2
4,0.19,17.1,0.57,29.7,0.95,38.3,1.33,45.4
5,0.2,17.6,0.58,30.0,0.96,38.5,1.34,45.5
6,0.21,18.0,0.59,30.2,0.97,38.7,1.35,45.7
7,0.22,18.4,0.6,30.5,0.98,38.9,1.36,45.9
8,0.23,18.9,0.61,30.7,0.99,39.1,1.37,46.0
9,0.24,19.3,0.62,31.0,1.0,39.3,1.38,46.2
10,0.25,19.7,0.63,31.2,1.01,39.5,1.39,46.4
11,0.26,20.1,0.64,31.5,1.02,39.7,1.4,46.5
12,0.27,20.4,0.65,31.7,1.03,39.9,1.41,46.7
13,0.28,20.8,0.66,32.0,1.04,40.1,1.42,46.9
14,0.29,21.2,0.67,32.2,1.05,40.3,1.43,47.0
15,0.3,21.5,0.68,32.4,1.06,40.5,1.44,47.2
16,0.31,21.9,0.69,32.7,1.07,40.7,1.45,47.4
17,0.32,22.2,0.7,32.9,1.08,40.9,1.46,47.5
18,0.33,22.6,0.71,33.1,1.09,41.1,1.47,47.7
19,0.34,22.9,0.72,33.4,1.1,41.3,1.48,47.8
20,0.35,23.3,0.73,33.6,1.11,41.4,1.49,48.0
21,0.36,23.6,0.74,33.8,1.12,41.6,1.5,48.2
22,0.37,23.9,0.75,34.1,1.13,41.8,1.51,48.3
23,0.38,24.2,0.76,34.3,1.14,42.0,1.52,48.5
24,0.39,24.6,0.77,34.5,1.15,42.2,1.53,48.6
25,0.4,24.9,0.78,34.7,1.16,42.4,1.54,48.8
26,0.41,25.2,0.79,35.0,1.17,42.5,1.55,49.0
27,0.42,25.5,0.8,35.2,1.18,42.7,1.56,49.1
28,0.43,25.8,0.81,35.4,1.19,42.9,1.57,49.3
29,0.44,26.1,0.82,35.6,1.2,43.1,1.58,49.4
30,0.45,26.4,0.83,35.8,1.21,43.3,1.59,49.6
31,0.46,26.7,0.84,36.0,1.22,43.4,1.6,49.7
32,0.47,27.0,0.85,36.3,1.23,43.6,1.61,49.9
33,0.48,27.2,0.86,36.5,1.24,43.8,1.62,50.1
34,0.49,27.5,0.87,36.7,1.25,44.0,1.63,50.2
35,0.5,27.8,0.88,36.9,1.26,44.1,1.64,50.4
36,0.51,28.1,0.89,37.1,1.27,44.3,1.65,50.5
37,0.52,28.4,0.9,37.3,1.28,44.5,1.66,50.7
